name,opponent_level,level,stress_amount,crucial_boxes,moves_name,traits,optional_traits,action1,action2,action3,action4,action5,action6,character_description,moves_desc
Roaches,Basic Opponent,1,6,Crucial Boxes: 6,They Just Keep Coming!,"Beast, Nimble","Double Trouble, Triple Threat, Filthy",The roaches come at you biting and scratching. React with Fight.,The roaches' wings flutter in the most disgusting way. React with Will.,The roaches jump onto you to push you down. React with Strength.,The roaches grab onto your clothes or weapons. React with Dexterity.,"The roaches size you up, ready to jump at the first move. React with Caution.","The roaches look at you with blank, beady eyes. They don't attack.","Roaches are small and annoying insects that usually attack in large numbers. They mainly live close to the Inbetweens and in the darkest corners of the House. Roaches usually sneak up on their prey, taking advantage of their quick movements to catch the enemy off-guard and swarm them. They feed on mushrooms and molds, but also eat the carcasses of larger animals and insects. They only attack littlings when they feel their hunting grounds are being threatened.",<strong>They Just Keep Coming!: </strong>Roll a numeric die. Odd: the roaches have been defeated or chased off. <strong>Even: </strong>a new group of roaches arrives and the combat resumes from the start.
Hooligans,Basic Opponent,1,9,Crucial Boxes: 5,"All the Way, Guys!",Littling,"Double Trouble, Triple Threat",The hooligans attack you as a group. React with Fight.,The hooligans try to get a rise out of you with insults. React with Will.,The hooligans throw sand grains and nail tips at you. React with Elusion.,"The hooligans jump on you, trying to push you to the ground. React with Strength.",The hooligans charge at you headfirst. React with Athletics.,"The hooligans give you the stink eye, waiting for your next move. They don't attack.","Hooligans are littlings with a fiery temper, who don't really need a reason to come to blows. Whether they are brawl-happy drunkards, small-time criminals, or honest citizens who are having a bad day, hooligans are just looking for an excuse to start a fight. Luckily they are never armed, maybe with the exception of some improvised clubs and hidden brass knuckles... You know, just in case.","<strong>All the Way, Boys!: </strong>The hooligans call for reinforcements or egg each other on. From now on, all Characters who suffer Stress on their Reaction Turn, also suffer 1 additional Stress."
Gendarmes,Basic Opponent,1,9,Crucial Boxes: 5,Stop them!,"Littling, Double Trouble","Armed, Triple Threat, Shooters",The gendarmes attack you with their batons and cutlery. React with Fight.,The gendarmes try to surround you. React with Caution.,The gendarmes grab and pull at you. React with Strength.,The gendarmes puff in their whistle to call for reinforcements. React with Will.,The gendarmes try to grab you. React with Elusion.,The gendarmes scatter without really doing anything. They don't attack.,"Gendarmes are littlings tasked with upholding law and order in the various cities and towns of the House. In the Realm, they wear light green uniform and are members of the Royal Gendarmerie, while in the Freedomes they wear dark red jackets. In the Hearth they are agents with light blue shirts and answer directly to sheriffs of the Hearth Army, and in the Horde they are known as Militia and wear mustard-colored jackets. Some gendarmes are armed with batons, half-scissors, and pistols, others with muskets and bayonets.",<strong>Stop them!: </strong>The gendarmes try to stop you or shoot at you. Characters who don't pass a Critical Reaction Roll in Elusion + War suffer -1 to their next roll.
Wasps,Basic Opponent,1,6,Crucial Boxes: 4,War Buzz,"Beast, Double Trouble, Flying",Venomous,The wasps attack you with their stingers. React with Elusion.,The wasps grab you and try to pull you up in the air. React with Strength.,The wasps buzz loudly trying to confuse you. React with Insight.,The wasps come at you trying to bite you. React with Fight.,"The wasps dive down, trying to slam into you. React with Athletics.","The wasps fly around you, studying your moves. They don't attack.","Wasps are violent and territorial creatures. They hang around beehives hunting out bees and trying to steal their honey. Wasps will attack on sight anyone who makes too much noise or looks threatening and they are especially tough to face. Their stingers are as sharp as needles. When flying, wasps emit a loud buzzing sound that makes them easy to spot. As such, they usually try to sneak up their prey from above by scampering on mushrooms or other raised surfaces.","<strong>War Buzz</strong>The wasps unleash a powerful and deafening buzz that makes even thinking hard. Until the end of combat, you can no longer play Aces for any reason."
Earwigs,Basic Opponent,1,12,Crucial Boxes: 4-6-8-10-12,"Pinch, then Pile On, then Pile On, then Pile On, then Pile On.","Beast, Triple Threat, Large","Nimble, Filthy",The earwigs repeatedly attack you with their tails. React with Elusion.,"The earwigs shake their tail, but then bite at you. React with Insight.",The earwigs attack you with teeth and pincers. React with Fight.,The earwigs sweep at your feet with their tails. React with Athletics.,The earwigs repeatedly thump their tails on the ground. React with Grace.,The Earwigs jump on you to bite you. React with Strength.,"Earwigs are large insects almost as tall as a littling, their tail looks like a set of pincers, and they use it to clamp down on their prey. They usually attack in small groups and are very aggressive, but rarely venture far from their lair unless they have no other option. On top of that, they are perfectly capable of walking on any vertical surface.","<strong>Pinch: </strong>The earwigs clack their tails. React with Grace + War. Characters who fail become Hurt.<br><strong>Pile On: </strong>The earwigs pile on the weakest prey in sight. The Character with the highest level of Stress immediately suffers 1 Stress. If this makes them Overstressed or forces them to Bow Out, the Move gets repeated."
Centipede,Critical Opponent,2,8,Crucial Boxes: 4,Encircle,"Beast, Large, Venomous, Crawling","Double Trouble, Hardened Shell",The centipede rams violently against you. React with Strength.,The centipede stabs at you with a myriad of pointed legs. React with Fight.,The centipede quickly slithers between you. React with Athletics.,"The centipede thrashes about, causing a small earthquake. React with Grace.",The centipede circles around you and pounces suddenly. React with Caution.,The centipede unleashes a terrifying and deafening scream. React with Will.,"Centipedes are among the most dangerous creatures in the House. They have dozen upon dozens of clawed, venomous legs. Luckily they mostly live in the Inbetweens or next to the Walls. Despite their size, they can walk on walls and crawl silently on any surface to ambush their prey. Unfortunately, on the extremely long list of prey targeted by centipedes, there are also littlings.",<strong>Encircle: </strong>The centipede crawls around the group in a whirl. All Characters suffer -1 to their next Reaction Roll.
Duelists,Critical Opponent,2,7,Crucial Boxes: 2-4-6,Parry or Disarm or Fluster,"Littling, Armed, Nimble, Counter-attack","Double Trouble, Hard to Kill",The duelists make a series of quick thrusts. React with Elusion.,The duelists attempt a feint. React with Insight.,The duelists try to throw you off balance. React with Grace.,The duelists come at you cutting and lunging. React with Fight.,"The duelists hold their attacks, waiting for you to lower your guard. React with Caution.",The duelists cross blades with you. React with Dexterity.,"Overbold adventurers looking to make a name for themselves, nobles who devoted their lives to the fencing arts, or silent assassins with lethal techniques, duelists are fearsome and unpredictable opponents. Whenever they reach their Crucial Box, the Narrator can choose, either freely or randomly, which of their Moves to use.","<strong>Parry: </strong>The duelists ignore the next successful attack against them.<br><strong>Disarm: </strong>The duelists disarm the Character who made them fill in the Crucial Box.<br><strong>Fluster: </strong>The duelists mock the Characters, try to undo their pants, pull their hats on their faces, or embarrass them by getting in their way. React with Grace + War. Characters who fail become Embarrassed."
Scouts,Critical Opponent,2,6,Crucial Boxes: 3,Surround,"Littling, Shooters, Unreachable, Counter-attack","Double Trouble, Triple Threat, Barrage, Hard to Kill, Nimble","The scouts shoot from every direction, you must find cover. React with Investigation.",The scouts lay a trap for you. React with Insight.,The scouts go quiet. Then they take precisely aimed shots. React with Caution.,The scouts target you with ranged weapons. React with Elusion.,The scouts try to surround you. React with Caution.,"The scouts vanish into thin air, then attack from every direction. React with Will.","Scouts are littlings gifted with sharp eyes and ears. They are employed by law enforcement, wealthy citizens, and sometimes even brigands, to keep an eye on a region and patrol the perimeter. When doing reconnaissance, scouts usually act in small groups and move stealthily to locate and surround their target. Some take defensive position, finding a protected perch.","<strong>Surround: </strong>Scouts scatter and surround the group. React with Caution + Street. Characters who fail become Confused. If they are already Confused, they become Scared."
Soldiers,Critical Opponent," 2",6,Crucial Boxes: 4,Storm,"Littling, Armed","Double Trouble, Triple Threat, Shooters, Barrage, Hard to Kill, Armored",The soldiers grab or tackle you. React with Strength.,"The soldiers play dirty, or try to trap you. React with Insight.",The soldiers attack you with drawn weapons. React with Fight.,The soldiers shoot at you. React with Elusion.,The soldiers try to surround you. React with Caution.,The soldiers shout and push you around with their weapons. React with Will.,"Soldiers are the beating heart of the army, they usually patrol the frontiers and wild lands, or defend important and relevant areas of big cities. The main Household military forces are the Great Imperial Army (tasked with territorial control and with maintaining order throughout the House), the Hearth Army, the Porcelain Army of the Free Dominions, and the Horde Army. Soldiers wear reinforced jackets or light cuirasses with the colors and symbols of their nation, and they usually use polearms, one-handed weapons, pistols, and muskets.","<strong>Storm: </strong>The soldiers won't give up so easily. From now on, characters who fail to roll at least one Basic Success on their Reaction Turn immediately become Tired. If they are already Tired, they become Hurt."
Common Spider,Critical Opponent,2,9,Crucial Boxes: 3-6,"Cobweb Volley, then Cobweb Volley","Beast, Large, Cobweb","Double Trouble, Nimble, Venomous, Unreachable",The spider causes a tremor or small collapse. React with Grace.,The spider attacks from above with its legs. React with Elusion.,The spider dashes and attacks suddenly. React with Insight.,The spider circles around you and tries to put your backs to the wall. React with Caution.,The spider stares at you with its too many eyes and clicking chelicerae. React with Will.,The spider attacks you with its front legs. React with Fight.,"Eight legs that can move on any surface, the ability to shoot sticky cobwebs, and an unspecified number of eyes. This, is the recipe for the most fearsome and feared beast in the House. There are several species of common spiders, each with a different shape and coloring, but they all share the ability to move with unbelievable stealth, the tendency to lay dangerous ambushes, and the unfortunate predilection for littling-based meals.","<strong>Cobweb Volley: </strong>In rapid succession, the spider targets all Characters with its cobweb. Characters who don't pass a Critical Reaction Roll in Elusion + War are trapped. See the Cobweb Trait."
Hornets,Critical Opponent,3,7,Crucial Boxes: 3-5,"War Buzz, then Dust Cloud","Beast, Large, Flying, Venomous","Double Trouble, Counter-attack",The hornets target you with their stingers. React with Elusion.,The hornets grab you and try to pull you up in the air. React with Strength.,The hornets get into formation and attack you with cunning. React with Insight.,"The hornets dive down, trying to slam into you. React with Athletics.",The hornets buzz loudly trying to confuse you. React with Caution.,The hornets grab onto you and try to strike you. React with Dexterity.,"Wasps already look like evil incarnate with wings, and yet there are even worse, more conniving, beasts. Hornets behave much like their “little cousins,” but they are much larger, much more irritable, and much more dangerous to face. Nevertheless, they are still a protected species.","<strong>War Buzz: </strong>The hornets unleash a powerful and deafening buzz that makes even thinking hard. Until the end of combat, you can no longer play Aces for any reason.<br><strong>Dust Cloud: </strong>The hornets fly around the Characters and raise a dust cloud. The Narrator rolls a numeric die for every Character. Even: that Character is now Blinded."
Beetle,Critical Opponent,3,12,Crucial Boxes: 5-10,"Impact, then Impact","Beast, Large, Double Trouble, Hardened Shell","Triple Threat, Huge, Shield",The beetle tries to hit you with its horn. React with Elusion.,The beetle crashes into you. React with Strength.,The beetle attacks you with its jaws or horns. React with Fight.,The beetle charges at you. React with Athletics.,"The beetle goes into a rage, you must find cover. React with Investigation.",The beetle snorts and flutters its wings. React with Will.,"There are a myriad species of beetles in the house. The larger ones, like the stag beetle, or the Dasewer rhinoceros beetle, have been used as guard animals and mounts since ancient times. However, there are also wild beetles, and they can prove very aggressive toward littlings. This is especially true for doodlebugs: huge, aggressive beetles unanimously recognized as wild animals you never want to run into.","<strong>Impact: </strong>The beetle charges, crashing into you. Characters who don't pass an Extreme Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Broken."
Lizard,Critical Opponent,3,6,Crucial Boxes: 3-5,"Tail Whip, then Getaway","Beast, Large, Double Trouble, Nimble","Triple Threat, Huge, Filthy, Counter-attack",The lizard strikes at you with its tongue or throws debris with its tail. React with Elusion.,"The lizard studiously waits for your next move, then strikes. React with Insight.",The lizard jumps on you. React with Athletics.,The lizard forces you to jump around to avoid its tail. React with Grace.,"The lizard shakes its tail to raise a dust cloud, then lunges suddenly. React with Caution.",The lizard tries to maul your arms. React with Dexterity.,"Despite being large reptiles, lizards are incredibly nimble, and can walk on walls with extreme ease. They are native to the Kashab Desert, where some even use them as mounts, but can be found throughout the House.","<strong>Tail Whip: </strong>A quick swipe of the tail. Characters who don't pass a Critical Reaction Roll in Grace + War fall to the ground. Characters on the ground must use their action to stand back up. Until they do, they suffer -1 to all rolls.<br><strong>Getaway:</strong> The lizard drops its tail and runs away. A Character who hasn't had their turn yet may make a Reaction Roll in Investigation + Street to notice this trick. If they succeed, they can choose whether to resume combat or let the lizard escape. If they fail, everyone becomes Confused and the lizard escapes."
Cuirassiers,Critical Opponent,3,8,Crucial Boxes: 5,Defensive Formation,"Littling, Armed, Double Trouble, Hard to Kill, Armored","Shooters, Shield",The cuirassiers raise their shields and push you back. React with Strength.,The cuirassiers attack you head-on. React with Fight.,The cuirassiers try to scatter you. React with Insight.,The cuirassiers keep you at a distance with their spears. React with Athletics.,The cuirassiers try to surround you. React with Caution.,The cuirassiers make quick thrusts with their spears. React with Dexterity.,"Some gendarmes and soldiers wear heavy armor and helmets with the symbols of their army. Cuirassiers are employed to protect important targets or to make searches, and they always move in groups. They prefer polearms or two-handed weapons, and sometimes have armored shooters in their group.","<strong>Defensive Formation:</strong> The cuirassiers come shoulder to shoulder. From now on, Characters have -1 to all Action Rolls made to attack."
Rat,Critical Opponent,3,9,Crucial Boxes: 3-6,"Tail Whip, then Rage","Beast, Huge, Double Trouble, Filthy","Triple Threat, Counter-attack",The rat attacks you with its fangs and claws. React with Fight.,The rat slams you against the ground or wall. React with Strength.,The rat tries to furiously chomp on you. React with Dexterity.,"The rat whips the air with its tail and claws, you must find cover. React with Investigation.","The rat bares its fangs, then strikes with the tail. React with Insight.",The rat makes terrifying growls and squeaks. React with Will.,"Rats look much like hugely overgrown mice with long, muscly tails. However, they have very little in common with their noble cousins. Unlike mice, rats hunt littlings and are impossible to train, with the exception of a few tamer breeds. These beasts are a real pain for hunters, as they threaten the natural balance of any hunting ground they reach. They have been known to sometimes even venture into towns to find food.","<strong>Tail Whip: </strong>A quick swipe of the tail threatens to knock down the Characters. Characters who don't pass a Critical Reaction Roll in Grace + War fall to the ground. Characters on the ground must use their action to stand back up. Until they do, they suffer -1 to all rolls.<br><strong>Rage: </strong>The hair on the back of the rat stands up as it hisses. From now on, Characters have -1 to all Action Rolls made to attack."
Large Spider,Critical Opponent,4,9,Crucial Boxes: 2-5-7-9,"Cobweb Volley (or Slam), then Pile On, then Cobweb Volley (or Slam), then Pile On","Beast, Huge, Double Trouble","Triple Threat, Hardened Shell, Cobweb, Venomous, Filthy, Counter-attack, Unreachable",The large spider attacks from above with its legs. React with Elusion.,"The large spider thrashes about causing a collapse, you must find cover. React with Investigation.",The large spider attacks you with its front legs. React with Fight.,The large spider causes a tremor or small collapse. React with Grace.,The large spider circles around you and tries to put your backs to the wall. React with Caution.,The large spider stares at you with its too many eyes and clicking chelicerae. React with Will.,"As if common spiders weren't enough, the House is also home to too many large spiders, hiding in their lairs in the Inbetweens. Tarantulas (Cobweb, Venomous) are huge, hairy arachnids that roam the lands of the Horde, camouflaging with the rusted walls of the Basement. Wolf Spiders (Hardened Shell, Counter-attack), on the other hand, are unusually strong beasts. Luckily they at least produce no cobwebs. They only live in Pinewood and in mushroom forests, where they love to lay lethal ambushes.","<strong>Cobweb Volley: </strong>In rapid succession, the spider targets all Characters with its cobweb. Characters who don't pass a Critical Reaction Roll in Elusion + War are trapped. See the Cobweb Trait.<br><strong>Slam: </strong>The spider uses its huge body to ram into the Characters. Characters who don't pass a Critical Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Tired. If they are already Tired, they become Broken.<br><strong>Pile On: </strong>The spider focuses on the weakest prey in sight. The Character with the highest level of Stress immediately suffers 1 Stress. If this makes them Overstressed or forces them to Bow Out, the Move gets repeated."
